CODIGO,DESCRIPCION,COSTO,NEGOCIO,LLEVAR,COLOCADO,BOD,STK,INV,PROVEEDOR,MARCA,CATEGORIA
DW01662GBN,COMPASS 4PTS 07-16,,"$1,500.00","$1,650.00","$1,800.00",3,,3,CITSA,CHRYSLER,PARABRISAS
DW00973GBN,DART KA /PLYMOUNT 2/4 PTS 81-88 DW00923,,"$1,070.00","$1,210.00","$1,350.00",,,0,CITSA,CHRYSLER,PARABRISAS
DW00691GBN,DART 4 PTS MOD. 76,,"$1,020.00","$1,170.00","$1,350.00",6,,6,CITSA,CHRYSLER,PARABRISAS
DW00690GBN,DART 2 PTAS HARD TOP 67-76,$502.00,"$1,220.00","$1,370.00","$1,550.00",4,,4,CRINAMEX,CHRYSLER,PARABRISAS
DW02016GTY,DART 4 PTS SEDAN 13-14,,"$2,860.00","$2,910.00","$3,180.00",,,0,,CHRYSLER,PARABRISAS
DW00999GBN,DAKOTA PICKUP 90-97 2 PTS,,"$1,100.00","$1,230.00","$1,360.00",5,,5,CITSA,CHRYSLER,PARABRISAS
DW01472GBN,DAKOTA /DURANGO 97-04 (DW01295)                           VITRO,,"$1,010.00","$1,080.00","$1,380.00",,,0,CITSA,CHRYSLER,PARABRISAS
DW01590GBN,DAKOTA /RAIDER CABINA 1/2 YDOBLE CABINA 05-11,,"$1,470.00","$1,620.00","$1,780.00",4,,4,CITSA,CHRYSLER,PARABRISAS
DW01043GBN,"DYNASTY 4 PTS 88-93 / FIFTH AVENUE, IMPERIAL 4 PTS 90-93",,"$1,300.00","$1,400.00","$1,500.00",4,,4,CRINAMEX,CHRYSLER,PARABRISAS
DW01555GBN,DURANGO/ASPEN  05-09,,"$1,540.00","$1,690.00","$1,840.00",9,,9,CRINAMEX,CHRYSLER,PARABRISAS
DW00914GBN,DODGE PICK UP/DOBLERODADA/RAM CHARGER/VOLTEO 73-93 (DW00796)               VITRO,$619.45,$950.00,"$1,050.00","$1,150.00",6,,6,CRINAMEX,CHRYSLER,PARABRISAS
DW00760GBN,DODGE VAN  3PTS 70-79,,"$1,020.00","$1,070.00","$1,400.00",,,0,,CHRYSLER,PARABRISAS
DW00964GBN,DODGE VAN 89-93 CON GOMA (27.0X72.0),,$720.00,$780.00,"$1,200.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01167GTN,DODGE VAN 94-03 PEGADO (24.5x73.0),,"$1,290.00","$1,450.00","$1,650.00",3,,3,CITSA,CHRYSLER,PARABRISAS
DW01142GBN,GRAN CHEROKEE 4PTS 93-98,,"$1,150.00","$1,290.00","$1,450.00",7,,7,CITSA,CHRYSLER,PARABRISAS
